"Notes"	"State"	"State Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"Black or African American"	"2054-5"	"2013"	"2013"	10	785411	1.273 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2009"	"2009"	10	2020305	0.495 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2010"	"2010"	10	2026603	0.493 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2011"	"2011"	15	2034698	0.737 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2013"	"2013"	15	2016119	0.744 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2014"	"2014"	18	2006701	0.897 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2015"	"2015"	15	1996040	0.751 (Unreliable)
	"Alabama"	"01"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2016"	"2016"	15	1986491	0.755 (Unreliable)
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"1999"	"1999"	61	640334	9.526
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2000"	"2000"	80	647479	12.356
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2001"	"2001"	69	658989	10.471
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2002"	"2002"	55	666955	8.246
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2003"	"2003"	73	676958	10.784
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2004"	"2004"	79	686474	11.508
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2005"	"2005"	83	698016	11.891
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2006"	"2006"	96	713322	13.458
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2007"	"2007"	75	724592	10.351
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2008"	"2008"	100	735820	13.590
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2009"	"2009"	99	746652	13.259
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2010"	"2010"	92	754366	12.196
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2011"	"2011"	109	767513	14.202
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2012"	"2012"	97	776584	12.491
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2013"	"2013"	106	785411	13.496
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2014"	"2014"	121	791075	15.296
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2015"	"2015"	109	794639	13.717
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2016"	"2016"	111	795149	13.960
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"1999"	"1999"	84	1920671	4.373
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2000"	"2000"	92	1923701	4.782
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2001"	"2001"	107	1933268	5.535
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2002"	"2002"	119	1938795	6.138
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2003"	"2003"	148	1946707	7.603
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2004"	"2004"	126	1955820	6.442
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2005"	"2005"	135	1968476	6.858
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2006"	"2006"	152	1987640	7.647
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2007"	"2007"	151	2000591	7.548
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2008"	"2008"	172	2008947	8.562
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2009"	"2009"	158	2020305	7.821
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2010"	"2010"	177	2026603	8.734
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2011"	"2011"	187	2034698	9.191
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2012"	"2012"	193	2024401	9.534
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2013"	"2013"	194	2016119	9.622
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2014"	"2014"	212	2006701	10.565
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2015"	"2015"	204	1996040	10.220
	"Alabama"	"01"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2016"	"2016"	232	1986491	11.679
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2000"	"2000"	10	647479	1.544 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2001"	"2001"	13	658989	1.973 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2002"	"2002"	14	666955	2.099 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2003"	"2003"	14	676958	2.068 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2004"	"2004"	17	686474	2.476 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2005"	"2005"	18	698016	2.579 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2006"	"2006"	21	713322	2.944
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2007"	"2007"	14	724592	1.932 (Unreliable)
	"Alabama"	"01"	"Viral hepatitis"	"B15-B19"	"Black or African American"	"2054-5"	"2008"	"2008"	24	735820	3.262
