"Notes"	"State"	"State Code"	"ICD Chapter"	"ICD Chapter Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"1999"	"1999"	217	640334	33.889	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2000"	"2000"	253	647479	39.075	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2001"	"2001"	255	658989	38.696	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2002"	"2002"	227	666955	34.035	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2003"	"2003"	227	676958	33.532	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2004"	"2004"	253	686474	36.855	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2005"	"2005"	233	698016	33.380	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2006"	"2006"	271	713322	37.991	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2007"	"2007"	232	724592	32.018	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2008"	"2008"	258	735820	35.063	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2009"	"2009"	241	746652	32.277	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2010"	"2010"	230	754366	30.489	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2011"	"2011"	228	767513	29.706	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2012"	"2012"	221	776584	28.458	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2013"	"2013"	227	785411	28.902	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2014"	"2014"	231	791075	29.201	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2015"	"2015"	224	794639	28.189	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"2016"	"2016"	198	795149	24.901	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"1999"	"1999"	190	1920671	9.892	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2000"	"2000"	203	1923701	10.553	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2001"	"2001"	227	1933268	11.742	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2002"	"2002"	222	1938795	11.450	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2003"	"2003"	287	1946707	14.743	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2004"	"2004"	257	1955820	13.140	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2005"	"2005"	276	1968476	14.021	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2006"	"2006"	272	1987640	13.685	0.002%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2007"	"2007"	293	2000591	14.646	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2008"	"2008"	314	2008947	15.630	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2009"	"2009"	304	2020305	15.047	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2010"	"2010"	309	2026603	15.247	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2011"	"2011"	316	2034698	15.531	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2012"	"2012"	321	2024401	15.857	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2013"	"2013"	330	2016119	16.368	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2014"	"2014"	378	2006701	18.837	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2015"	"2015"	315	1996040	15.781	0.003%
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	"2016"	"2016"	339	1986491	17.065	0.003%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	10	19240	51.975 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	11	21188	51.916 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	10	22634	44.181 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	15	22886	65.542 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	10	27213	36.747 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	12	29021	41.349 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	16	31275	51.159 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	12	33299	36.037 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	19	35300	53.824 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	11	38700	28.424 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	19	41211	46.104 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	20	42357	47.218	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	16	43870	36.471 (Unreliable)	0.000%
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	11	45536	24.157 (Unreliable)	0.000%
