State,Year,.Under 5 years,.5 to 9 years,.10 to 14 years,.15 to 19 years,.20 to 24 years,.25 to 29 years,.30 to 34 years,.35 to 39 years,.40 to 44 years,.45 to 49 years,.50 to 54 years,.55 to 59 years,.60 to 64 years,.65 to 69 years,.70 to 74 years,.75 to 79 years,.80 to 84 years,.85 years and over,MALE,FEMALE
Alabama,2000,"295,185","313,178","321,372","325,612","309,170","298,679","301,179","338,693","345,820","316,816","287,948","226,761","190,880","167,835","148,805","118,478","78,201","67,561","2,149,338","2,302,835"
Alabama,2001,"296,624","307,526","323,615","321,866","318,741","286,763","302,186","330,870","347,133","323,347","300,108","231,202","193,822","169,261","149,001","118,750","79,883","66,936","2,158,138","2,309,496"
Alabama,2002,"296,046","302,632","325,008","320,749","322,812","281,003","302,668","321,114","345,023","330,998","298,908","248,643","198,880","170,495","147,964","119,599","81,123","66,424","2,165,719","2,314,370"
Alabama,2003,"295,204","299,148","326,642","321,655","326,983","280,387","302,722","312,160","343,191","337,237","302,120","258,551","207,119","173,635","147,332","120,741","83,097","65,567","2,179,422","2,324,069"
Alabama,2004,"295,970","297,554","326,228","325,095","326,749","283,864","299,896","305,558","342,253","340,768","307,605","270,380","214,983","176,683","147,028","120,322","84,290","65,503","2,192,872","2,337,857"
Alabama,2005,"296,441","298,450","323,028","330,753","326,727","290,568","295,263","303,456","339,299","344,392","314,839","284,084","220,403","179,942","149,085","120,923","84,762","67,390","2,213,382","2,356,423"
Alabama,2006,"297,222","303,581","321,867","337,003","326,239","302,813","288,248","308,663","334,043","348,601","323,309","297,745","226,567","184,594","151,454","122,066","85,688","69,278","2,243,501","2,385,480"
Alabama,2007,"300,300","306,013","320,407","341,279","327,293","307,619","286,033","312,470","326,486","348,251","332,544","298,032","244,043","189,797","152,814","121,729","86,812","70,918","2,265,565","2,407,275"
Alabama,2008,"304,842","306,682","319,503","345,580","328,751","311,504","287,272","313,869","318,765","348,148","340,006","301,833","254,507","198,122","156,112","121,862","88,254","72,594","2,287,949","2,430,257"
Alabama,2009,"305,412","307,864","319,072","346,611","332,117","312,199","293,352","312,797","313,852","348,256","344,478","307,017","265,870","205,667","159,088","121,679","88,283","74,324","2,309,779","2,448,159"
Alabama,2010,"304,840","308,125","319,314","341,504","336,601","311,929","300,120","306,442","310,756","345,049","348,347","313,686","278,763","210,742","161,514","122,639","88,754","76,173","2,323,317","2,461,981"
Alaska,2000,"47,528","53,439","56,861","50,226","40,231","42,571","46,337","55,520","58,471","53,812","41,834","27,607","17,420","12,753","9,982","6,944","3,761","2,666","324,750","303,213"
Alaska,2001,"47,176","51,312","57,077","52,378","42,602","41,148","46,006","52,983","58,021","55,123","44,830","28,949","18,694","13,037","10,301","7,212","4,026","2,839","328,135","305,579"
Alaska,2002,"47,437","49,946","57,449","53,653","45,284","41,155","45,497","50,767","57,009","56,694","46,150","32,190","20,238","13,659","10,456","7,443","4,325","2,985","332,704","309,633"
Alaska,2003,"47,610","48,745","56,932","54,076","47,733","41,414","44,958","48,476","55,925","57,305","48,563","34,181","22,087","14,287","10,744","7,573","4,641","3,164","335,380","313,034"
