State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
United States,41990,42228,42409,43318,44334,46326,48201,50233,50303,49777,49276
Alabama,35424,35160,37603,37255,36629,37150,37952,42212,44476,39980,40933
Alaska,52847,57363,52774,51837,55063,55891,56418,62993,63989,61604,57848
Arizona,39783,42704,39734,41166,43846,45245,46657,47215,46914,45739,46896
Arkansas,29697,33339,32387,32002,34984,36658,37057,40795,39586,36538,38587
California,46816,47262,47437,49300,49222,51755,55319,55734,57014,56134,54283
Colorado,48240,49397,48294,49940,50886,50449,55697,61141,60943,55930,60233
Connecticut,50172,53347,53387,54965,55100,56835,62404,64141,64682,64851,65998
Delaware,50365,49602,49650,49019,48049,51235,52438,54589,50702,52114,55214
District of Columbia,41222,41169,39070,45044,43451,44993,48477,50783,55590,53141,56928
Florida,38856,36421,38024,38972,40535,42990,45676,45794,44857,45631,44066
Georgia,41901,42576,42939,42438,40984,45926,49344,48641,46227,43340,44117
Hawaii,51546,47439,47303,51834,56242,59586,60470,64022,61521,55649,59539
Idaho,37611,38241,37715,42372,44358,44176,46213,49184,47420,46778,47050
Illinois,46064,46171,42710,45153,46077,48398,48671,52506,53254,52870,50728
Indiana,40865,40379,41047,42425,42329,42437,45407,47453,46520,44305,46139
Iowa,40991,40976,41049,41384,43391,46500,48126,48908,50142,50721,49016
Kansas,41059,41415,42619,44232,41066,42027,45552,48497,47877,44717,46054
Kentucky,36265,38437,36762,36936,35610,36699,39485,39452,41148,42664,41104
Louisiana,30718,33322,34008,33507,36429,37236,36488,41313,39563,45433,39300
Maine,37266,36612,36853,37113,41329,43923,45642,47894,47228,47502,47931
Maryland,54535,53530,56407,52314,57103,60512,63668,65630,63711,64186,64201
Massachusetts,46753,52253,49855,50955,52019,56017,55330,58463,60320,59373,60934
Michigan,45512,45047,42715,45022,42256,45933,48647,49370,49788,45994,46276
Minnesota,54251,52681,54622,52823,56104,54215,56211,58058,54925,56090,52321
Mississippi,34299,30161,30882,32728,34755,32875,34733,37279,36446,35078,38160
Missouri,45097,41339,42776,43762,42137,42986,44579,46005,46038,48769,45817
Montana,32777,32126,34835,34108,33956,37313,41105,43655,42900,40437,41280
Nebraska,41750,43611,42796,43974,43786,47923,48145,49174,50728,49595,52504
Nevada,45758,45403,44958,45184,47204,48209,52282,54058,54744,51434,51200
New Hampshire,50926,51331,55321,55567,56815,56984,61970,67576,66176,64131,66633
New Jersey,50405,51771,54568,56045,55275,63368,68059,60508,65306,64777,62968
New Mexico,35093,33124,35457,35105,39562,38947,40028,44356,42102,43542,45134
New York,40744,42114,41966,42788,44649,47176,48222,48944,50461,50216,49781
North Carolina,38317,38162,36515,37279,40238,42056,39797,43513,42930,41906,43830
North Dakota,35996,35793,36200,40410,39220,42192,41047,47205,49631,50075,51006
Ohio,42962,41785,42684,43520,43055,44203,45900,49099,46934,45879,45886
Oklahoma,32432,35609,36458,35902,39614,37645,38838,43216,46111,45878,43103
Oregon,42499,41273,41802,41638,40994,44159,47091,50236,51727,49098,50602
Pennsylvania,42176,43499,42498,42933,44106,46300,48477,48437,51402,48172,48314
Rhode Island,42197,45723,42417,44711,47935,49484,53736,54210,53241,51634,51623
South Carolina,37570,37736,37812,38479,38691,40230,39617,44213,42155,41101,41698
South Dakota,36475,39671,37873,39522,41107,43151,45427,46418,51600,45826,45352
Tennessee,34096,35783,37030,37523,38072,39406,40693,41195,39702,40517,38591
Texas,38609,40860,40149,39271,41397,41422,43307,46053,46490,47475,47266
Utah,47550,47342,47861,49275,50871,54813,54628,53529,62537,58491,56701
Vermont,39594,40794,42999,43261,47329,50704,51981,47390,50706,52318,55928
Virginia,47163,50241,49631,54783,51141,51914,57119,59161,61985,60501,60367
Washington,42525,42490,45183,47508,49922,50646,54723,58080,56631,60392,56163
West Virginia,29411,29673,29359,32763,33373,36445,38419,42091,37994,40490,42777
Wisconsin,45088,45346,45903,46269,45732,44650,51692,51277,51200,51237,50351
Wyoming,39629,39719,39763,42555,45397,44718,47041,48744,53337,52470,52201
