State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,77016,85722,94179,103472,113284,124822,137842,150652,163709,176518,186847
Alaska,25963,27989,29943,31417,32879,34422,35505,36229,37256,38232,39870
Arizona,1309389,1366916,1426437,1480908,1541006,1618339,1701963,1773645,1830866,1866820,1908914
Arkansas,87804,96526,105694,115624,125103,137148,149583,160397,170231,179039,187475
California,11054553,11383962,11705795,12030015,12335567,12619831,12876105,13136305,13447993,13759867,14089415
Colorado,745292,783269,817023,842340,864744,892419,923306,954181,984899,1015491,1047701
Connecticut,323852,338119,353717,369302,382912,396323,412867,429328,446776,465486,481903
Delaware,37834,40908,44187,47599,51274,55375,59478,63149,66725,70815,73842
District of Columbia,45266,46817,47054,47580,48243,48584,48522,48982,50446,53621,55257
Florida,2717081,2861659,3013530,3160322,3331269,3524067,3713980,3872136,4009162,4124307,4253203
Georgia,441576,484128,523285,560133,602574,646959,699663,751168,795001,830405,859895
Hawaii,87989,91446,95043,97672,101386,104657,108323,111147,115331,119105,121001
Idaho,103038,109067,114838,120694,127308,135345,145495,155222,163856,170818,177323
Illinois,1544165,1601533,1653300,1701923,1747272,1792149,1840227,1889627,1941348,1990555,2039055
Indiana,217326,234469,249409,266236,283216,303357,324357,343653,361715,377857,392371
Iowa,83414,90470,96786,103031,109772,116416,123714,131042,137819,146041,152696
Kansas,190633,200720,210500,220354,230124,240651,251627,263655,276744,289553,302309
Kentucky,60730,67160,73197,80016,87207,95238,102180,110919,118362,126724,133919
Louisiana,108997,116210,124055,131268,139738,148801,145440,158851,170866,183456,194165
Maine,9421,10490,11465,12520,13464,14307,15085,15794,16499,17117,17183
Maryland,231155,251351,273885,297565,322895,350749,379462,406186,430375,452784,473849
Massachusetts,433611,455161,473815,490907,506289,521987,540944,561049,584748,609411,631880
Michigan,327050,343617,357136,369577,381150,392685,403658,412393,420926,429423,438551
Minnesota,145301,158050,168979,179719,190294,201462,212924,223561,234029,242894,252008
Mississippi,40032,44168,47924,51817,55734,60583,64434,70066,74973,79695,82041
Missouri,119859,128844,137828,146861,156048,165970,177085,187515,197017,205920,214055
Montana,18191,19546,20622,21814,22766,24153,25301,26440,27373,28210,28923
Nebraska,95505,103215,110994,118380,124667,131467,138481,145077,152703,160871,168755
Nevada,400260,433396,465381,495379,531663,570527,613429,653390,681879,703367,720066
New Hampshire,20697,23049,25288,27025,28780,30429,32338,33742,35202,36330,37080
New Jersey,1128903,1173732,1218847,1263523,1304751,1343332,1381040,1419887,1464525,1515870,1564037
New Mexico,769988,783543,800870,817520,834722,854026,874649,896537,916565,937564,959414
New York,2894316,2952390,3007143,3054405,3092293,3125400,3162942,3216035,3284992,3359065,3435220
North Carolina,385209,424721,461933,495533,534364,576892,625096,676428,728646,770622,806065
North Dakota,7834,8377,8999,9714,10359,10797,11299,11899,12560,13276,13747
Ohio,219498,232498,245320,258609,271798,286188,300578,316034,330867,344550,356787
Oklahoma,181095,195483,210446,222946,236132,251203,268175,285618,300723,319289,334594
Oregon,278259,296083,313232,328886,343677,361623,381519,402398,421853,438205,453140
Pennsylvania,398374,421461,447621,477457,510353,545049,583240,621478,657589,693817,723997
Rhode Island,91654,96675,101954,107092,111016,114237,117657,120518,124191,127861,131383
South Carolina,96470,107615,119542,131166,144106,158474,175689,194211,212024,225836,237473
South Dakota,10995,12581,13805,15088,16371,17549,18608,19626,20777,21709,22457
Tennessee,125572,139039,152930,167001,183955,204020,223916,245692,262563,278598,292156
Texas,6739868,6987005,7244849,7498587,7749995,8010747,8308008,8618270,8927300,9239906,9537028
Utah,204356,217648,231111,243047,254864,269469,287418,309661,330732,347583,361958
Vermont,5556,6104,6577,6928,7344,7754,8137,8492,8923,9274,9428
Virginia,334268,361650,389793,418238,449301,482696,516096,546471,575669,607430,636766
Washington,446953,473640,499071,524164,553147,583264,618798,652679,690377,729810,761491
West Virginia,12347,13147,14038,15166,16201,17573,19028,20146,21215,22044,22610
Wisconsin,195371,209771,223996,237465,250997,265521,280661,296250,310916,325679,338219
Wyoming,31999,32956,34254,35424,37001,38578,40433,43022,45949,48769,50691
