State,Year,Deaths,Population,crudemort_rate,Mort_rate
Alabama,2000,45062,4447100,1013.29,1.013289559
Alaska,2000,2914,626932,464.8,0.4648032
Arizona,2000,40500,5130632,789.38,0.789376435
Arkansas,2000,28217,2673400,1055.47,1.055472432
California,2000,229551,33871648,677.71,0.677708389
Colorado,2000,27288,4301261,634.42,0.634418604
Connecticut,2000,30129,3405565,884.7,0.884699015
Delaware,2000,6875,783600,877.36,0.877360898
District of Columbia,2000,6001,572059,1049.02,1.049017671
Florida,2000,164395,15982378,1028.6,1.028601626
Georgia,2000,63870,8186453,780.19,0.780191372
Hawaii,2000,8290,1211537,684.25,0.684254794
Idaho,2000,9563,1293953,739.05,0.739053119
Illinois,2000,106634,12419293,858.62,0.858615704
Indiana,2000,55469,6080485,912.25,0.912246309
Iowa,2000,28060,2926324,958.88,0.958882202
Kansas,2000,24717,2688418,919.39,0.91938828
Kentucky,2000,39504,4041769,977.39,0.977393809
Louisiana,2000,41138,4468976,920.52,0.920524075
Maine,2000,12354,1274923,969,0.968999696
Maryland,2000,43753,5296486,826.08,0.826076006
Massachusetts,2000,56681,6349097,892.74,0.892741125
Michigan,2000,86953,9938444,874.92,0.874915631
Minnesota,2000,37690,4919479,766.14,0.76613804
Mississippi,2000,28654,2844658,1007.29,1.007291562
Missouri,2000,54865,5595211,980.57,0.980570706
Montana,2000,8096,902195,897.37,0.897366977
Nebraska,2000,14992,1711263,876.08,0.876078078
Nevada,2000,15261,1998257,763.72,0.763715578
New Hampshire,2000,9697,1235786,784.68,0.784682785
New Jersey,2000,74800,8414350,888.96,0.888957555
New Mexico,2000,13425,1819046,738.02,0.738024217
New York,2000,158203,18976457,833.68,0.833680386
North Carolina,2000,71935,8049313,893.68,0.893678752
North Dakota,2000,5856,642200,911.87,0.911865462
Ohio,2000,108125,11353140,952.38,0.952379694
Oklahoma,2000,35079,3450654,1016.59,1.016589899
Oregon,2000,29552,3421399,863.74,0.863740242
Pennsylvania,2000,130813,12281054,1065.16,1.06516102
Rhode Island,2000,10027,1048319,956.48,0.956483666
South Carolina,2000,36948,4012012,920.93,0.920934434
South Dakota,2000,7021,754844,930.13,0.93012596
Tennessee,2000,55246,5689283,971.05,0.971053822
Texas,2000,149939,20851820,719.07,0.719069127
Utah,2000,12364,2233169,553.65,0.553652679
Vermont,2000,5127,608827,842.11,0.842111142
