State,Year,Uninsured_pct
Alabama,2010,17.5
Alabama,2009,19.2
Alabama,2008,13.4
Alabama,2007,13.1
Alabama,2006,17.1
Alabama,2005,16.0
Alabama,2004,13.4
Alabama,2003,14.3
Alabama,2002,14.2
Alabama,2001,14.1
Alabama,2000,13.9
Alaska,2010,19.4
Alaska,2009,18.4
Alaska,2008,21.1
Alaska,2007,18.6
Alaska,2006,17.6
Alaska,2005,17.9
Alaska,2004,16.1
Alaska,2003,18.6
Alaska,2002,19.1
Alaska,2001,15.7
Alaska,2000,18.5
Arizona,2010,21.3
Arizona,2009,20.9
Arizona,2008,21.2
Arizona,2007,19.8
Arizona,2006,23.2
Arizona,2005,21.7
Arizona,2004,18.5
Arizona,2003,18.6
Arizona,2002,18.7
Arizona,2001,18.7
Arizona,2000,18.3
Arkansas,2010,21.0
Arkansas,2009,21.9
Arkansas,2008,20.0
Arkansas,2007,17.8
Arkansas,2006,21.2
Arkansas,2005,19.6
Arkansas,2004,18.5
Arkansas,2003,20.0
Arkansas,2002,19.2
Arkansas,2001,19.0
Arkansas,2000,16.4
California,2010,21.4
California,2009,21.4
California,2008,20.0
California,2007,19.3
California,2006,19.6
California,2005,19.8
California,2004,19.4
California,2003,19.1
California,2002,18.2
California,2001,19.7
California,2000,19.2
Colorado,2010,14.4
Colorado,2009,16.2
Colorado,2008,16.9
Colorado,2007,17.4
Colorado,2006,18.2
Colorado,2005,17.7
Colorado,2004,16.5
Colorado,2003,16.7
Colorado,2002,16.0
Colorado,2001,16.1
Colorado,2000,14.1
Connecticut,2010,12.6
Connecticut,2009,12.7
Connecticut,2008,10.7
Connecticut,2007,9.8
Connecticut,2006,9.9
Connecticut,2005,11.5
Connecticut,2004,11.8
Connecticut,2003,10.6
Connecticut,2002,9.9
Connecticut,2001,9.4
Connecticut,2000,10.3
Delaware,2010,12.8
Delaware,2009,15.0
Delaware,2008,12.3
Delaware,2007,12.0
Delaware,2006,13.6
Delaware,2005,13.2
Delaware,2004,14.9
Delaware,2003,10.7
Delaware,2002,10.5
Delaware,2001,9.7
Delaware,2000,9.7
District of Columbia,2010,14.2
District of Columbia,2009,13.7
District of Columbia,2008,10.4
District of Columbia,2007,10.2
District of Columbia,2006,11.8
District of Columbia,2005,13.5
District of Columbia,2004,13.3
District of Columbia,2003,14.2
District of Columbia,2002,14.4
District of Columbia,2001,13.7
District of Columbia,2000,14.3
Florida,2010,24.6
Florida,2009,25.8
Florida,2008,23.0
Florida,2007,23.2
Florida,2006,23.9
Florida,2005,22.9
Florida,2004,21.6
Florida,2003,20.2
Florida,2002,18.5
Florida,2001,19.9
Florida,2000,19.2
Georgia,2010,21.3
Georgia,2009,22.3
Georgia,2008,18.5
Georgia,2007,18.7
Georgia,2006,18.8
Georgia,2005,19.5
Georgia,2004,17.2
Georgia,2003,16.7
